Restaurant,Price,Cuisine,Address,Telephone
The Decadente,3,European,rua sample 1,3510000000
Estrela da Bica,2,European,rua sample 2,3510000000
Panda Cantina,1,Ramen,rua sample 3,3510000000
Leonetta,2,Italian,rua sample 4,3510000000
Casa Das Bifanas,1,Portuguese,rua sample 5,3510000000
Santa Clara dos Cogumelos,2,Mushroom,rua sample 6,3510000000
Tasca Pete,2,European,rua sample 7,3510000000
Comadre,2,European,rua sample 8,3510000000
Palacio do Grillo,3,European,rua sample 9,3510000000
Tasca Baldracca,2,European,rua sample 10,3510000000
Lisbon Kebab Station,2,Middle East,rua sample 11,3510000000
100 Maneiras,1,European,rua sample 12,3510000000
Fumeiro de Santa Catarina,1,European,rua sample 13,3510000000
Adega das Gravatas,3,Ramen,rua sample 14,3510000000
Adraga,3,Italian,rua sample 15,3510000000
Yakuza by Olivier,1,Portuguese,rua sample 16,3510000000
Aron Sushi,3,Mushroom,rua sample 17,3510000000
A Floresta do Salitre,2,European,rua sample 18,3510000000
Água pela Barba,2,European,rua sample 19,3510000000
A Taberna da Rua das Flores,2,European,rua sample 20,3510000000
Sala de Corte,2,European,rua sample 21,3510000000
XXL by Olivier,2,Middle East,rua sample 22,3510000000
A Cevicheria,3,European,rua sample 23,3510000000
Santa Clara dos Cogumelos,2,European,rua sample 24,3510000000
Adega do Saraiva,2,Ramen,rua sample 25,3510000000
Bastardo,2,Italian,rua sample 26,3510000000
Alma,2,Portuguese,rua sample 27,3510000000
Adega da Tia Matilde,1,Mushroom,rua sample 28,3510000000
Arola,1,European,rua sample 29,3510000000
Atalho Real,3,European,rua sample 30,3510000000
Avenida SushiCafé,1,European,rua sample 31,3510000000
Azenhas do Mar,1,European,rua sample 32,3510000000
Cantinho do Avillez,2,European,rua sample 33,3510000000
Bairro do Avillez,3,European,rua sample 34,3510000000
Belcanto,1,Ramen,rua sample 35,3510000000
Bistro 100 Maneiras,3,Italian,rua sample 36,3510000000
Zé da Mouraria,2,Portuguese,rua sample 37,3510000000
Boa Bao,2,Mushroom,rua sample 38,3510000000
Boi-Cavalo,3,European,rua sample 39,3510000000
Casanostra,1,European,rua sample 40,3510000000
Bonsai,2,European,rua sample 41,3510000000
Butchers,2,European,rua sample 42,3510000000
Delidelux,2,Middle East,rua sample 43,3510000000
Café Buenos Aires,3,European,rua sample 44,3510000000
Café de São Bento,2,European,rua sample 45,3510000000
Cervejaria Boa Esperança,1,Ramen,rua sample 46,3510000000
Café do Paço,3,Italian,rua sample 47,3510000000
Café Príncipe Real,1,Portuguese,rua sample 48,3510000000
Cantinho do Aziz,3,Mushroom,rua sample 49,3510000000
A Travessa,1,European,rua sample 50,3510000000
Casa Nepalesa,1,European,rua sample 51,3510000000
Coelho da Rocha,2,European,rua sample 52,3510000000
Cervejaria Liberdade,2,European,rua sample 53,3510000000
Fortaleza do Guincho,2,Middle East,rua sample 54,3510000000
Casanova,1,European,rua sample 55,3510000000
Caxemira,2,European,rua sample 56,3510000000
A Casa do Bacalhau,3,Ramen,rua sample 57,3510000000
Cimas English Bar,2,Italian,rua sample 58,3510000000
Clube de Jornalistas,3,Portuguese,rua sample 59,3510000000
Chutnify,3,Mushroom,rua sample 60,3510000000
Farol da Torre,2,European,rua sample 61,3510000000
Confraria Lx,2,European,rua sample 62,3510000000
Cova Funda,2,European,rua sample 63,3510000000
Dom Feijão,3,European,rua sample 64,3510000000
Mar do Inferno,1,European,rua sample 65,3510000000
Ela Canela,1,European,rua sample 66,3510000000
Eleven,2,Ramen,rua sample 67,3510000000
Estórias na Casa da Comida,1,Italian,rua sample 68,3510000000
Everest Montanha,2,Portuguese,rua sample 69,3510000000
Feitoria,1,Mushroom,rua sample 70,3510000000
Forneria,1,European,rua sample 71,3510000000
Furnas do Guincho,1,European,rua sample 72,3510000000
Gambrinus,1,European,rua sample 73,3510000000
The Food Temple,3,European,rua sample 74,3510000000
Go Juu,2,Middle East,rua sample 75,3510000000
Estoril Mandarim,2,European,rua sample 76,3510000000
Ground Burger,1,European,rua sample 77,3510000000
Hikidashi,3,Ramen,rua sample 78,3510000000
Prado,1,Italian,rua sample 79,3510000000
Solar dos Nunes,1,Portuguese,rua sample 80,3510000000
Ibo,3,Mushroom,rua sample 81,3510000000
RIB Beef & Wine,3,European,rua sample 82,3510000000
Il Matriciano,3,European,rua sample 83,3510000000
Sea Me,2,European,rua sample 84,3510000000
Il Mercato,1,European,rua sample 85,3510000000
In Bocca al Lupo,2,Middle East,rua sample 86,3510000000
JNcQUOI,2,European,rua sample 87,3510000000
Kaffeehaus,2,European,rua sample 88,3510000000
Kanazawa,1,Ramen,rua sample 89,3510000000
La Finestra,2,Italian,rua sample 90,3510000000
Lambrettazzurra Pizzeria,1,Portuguese,rua sample 91,3510000000
Loco,3,Mushroom,rua sample 92,3510000000
Macau Dim Sum,1,European,rua sample 93,3510000000
Maria Azeitona,1,European,rua sample 94,3510000000
Mi Dai,3,European,rua sample 95,3510000000
Monte Mar,2,European,rua sample 96,3510000000
Mr. Lu,3,European,rua sample 97,3510000000
The Decadente,2,European,rua sample 98,3510000000
Nómada,2,Ramen,rua sample 99,3510000000
Nova Ásia,3,Italian,rua sample 100,3510000000
Nune's Real Marisqueira,2,Portuguese,rua sample 101,3510000000
O Galito,1,Mushroom,rua sample 102,3510000000
O Magano,3,European,rua sample 103,3510000000
Volver de Carne Y Alma,1,European,rua sample 104,3510000000
Orelhas,2,European,rua sample 105,3510000000
Os Tibetanos,3,European,rua sample 106,3510000000
Osteria Cucina di Amici,3,Middle East,rua sample 107,3510000000
Pap'Açorda,1,European,rua sample 108,3510000000
The Old House,3,European,rua sample 109,3510000000
Pharmácia,2,Ramen,rua sample 110,3510000000
Pinóquio,1,Italian,rua sample 111,3510000000
Ramiro,2,Portuguese,rua sample 112,3510000000
Rubro,1,Mushroom,rua sample 113,3510000000
Sala Thai,1,European,rua sample 114,3510000000
Salsa e Coentros,3,European,rua sample 115,3510000000
Solar dos Duques,3,European,rua sample 116,3510000000
Sancho,2,European,rua sample 117,3510000000
Solar dos Presuntos,3,Middle East,rua sample 118,3510000000
Stanislav Avenida,3,European,rua sample 119,3510000000
Taberna da Esperança,2,European,rua sample 120,3510000000
Taberna Moderna,3,Ramen,rua sample 121,3510000000
Tantura,3,Italian,rua sample 122,3510000000
Tapisco,3,Portuguese,rua sample 123,3510000000
Tasca da Esquina,2,Mushroom,rua sample 124,3510000000
Tasca Kome,3,European,rua sample 125,3510000000
Tasquinha do Lagarto,3,European,rua sample 126,3510000000
Tentações de Goa,2,European,rua sample 127,3510000000
Tomo,1,European,rua sample 128,3510000000
Último Porto,1,European,rua sample 129,3510000000
Varanda do Ritz,2,European,rua sample 130,3510000000
Zero Zero,2,Ramen,rua sample 131,3510000000